file_name,actual_label,predicted_label,confidence
airplane_indoor_backlit_00.png,3,5,0.61220723
airplane_indoor_backlit_01.png,3,42,0.10008836
airplane_outdoor_normal_light_01.png,3,1,0.21241228
airplane_outdoor_normal_light_02.png,3,27,0.04142841
apple_indoor_backlit_00.png,36,36,0.6689459
apple_indoor_low_light_01.png,36,36,0.31054977
apple_indoor_low_light_02.png,36,36,0.9484864
apple_synthetic_01.png,36,36,0.5666981
apple_synthetic_02.png,36,36,0.39519334
backpack_indoor_lowlight_01.jpg,21,21,0.37425745
backpack_indoor_lowlight_02.jpg,21,21,0.95949996
ball_indoor_normal_light_01.jpg,26,26,0.26611936
ball_indoor_normal_light_02.jpg,26,26,0.6171541
banana_indoor_backlit_00.png,35,35,0.94355017
banana_indoor_backlit_01.png,35,35,0.59720993
banana_indoor_normal_light_01.png,35,35,0.97312814
bear_outdoor_low_light_01.jpg,19,19,0.3688956
bear_outdoor_normal_light_00.jpg,19,19,0.5896671
bear_synthetic_01.png,19,22,0.10515888
bed_indoor_normal_light_02.jpg,45,43,0.6295496
bench_outdoor_low_light_02.jpg,11,11,0.8558993
bench_synthetic_00.png,11,11,0.99210197
bench_synthetic_01.png,11,11,0.9930696
bird_indoor_normal_light_01.jpg,12,27,0.4569713
bird_outdoor_low_light_00.jpg,12,27,0.20024402
bird_synthetic_02.png,12,12,0.10444478
book_indoor_normal_light_00.jpg,59,49,0.18721324
book_outdoor_normal_light_01.jpg,59,11,0.11901436
book_synthetic_02.png,59,30,0.22378874
bowl_outdoor_normal_light_02.png,34,31,0.22327876
broccoli_backlit_indoor_01.jpg,38,38,0.90769523
broccoli_backlit_indoor_02.jpg,38,38,0.9524206
broccoli_low_light_indoor_02.jpg,38,38,0.9161528
broccoli_synthetic_02.png,38,38,0.8082579
bus_outdoor_normal_light_01.png,4,4,0.68235964
bus_outdoor_normal_light_02.png,4,4,0.84301525
bus_synthetic_00.png,4,6,0.4562927
car_outdoor_normal_light_01.png,1,1,0.64529777
car_synthetic_00.png,1,1,0.31553847
cat_indoor_normal_light_02.jpg,13,13,0.83956367
cat_outdoor_back_light_00.jpg,13,13,0.06837297
cat_outdoor_normal_light_00.jpeg,13,13,0.7415231
cat_outdoor_normal_light_01.jpg,13,13,0.49780232
cat_outdoor_normal_light_02.jpeg,13,13,0.39887965
cat_synthetic_02.png,13,13,0.5893905
clock_indoor_low_light_00.jpg,60,60,0.92294955
clock_indoor_low_light_01.jpg,60,60,0.8660518
couch_backlit_indoor_01.jpg,43,43,0.4169944
couch_low_light_outdoor_00.jpg,43,43,0.3444163
couch_normal_light_indoor_00.jpg,43,43,0.47594506
couch_normal_light_outdoor_01.jpg,43,43,0.88923395
couch_normal_light_outdoor_02.jpg,43,17,0.114928015
cup_indoor_low_light_02.png,31,31,0.88546324
cup_indoor_normal_light_01.png,31,31,0.7323349
dining_table_indoor_normal_light_00.jpg,46,46,0.7404446
dining_table_indoor_normal_light_02.jpg,46,46,0.8208864
dog_indoor_low_light_02.jpg,14,13,0.22574489
dog_indoor_normal_light_00.jpg,14,31,0.122061014
donut_backlit_outdoor_00.jpg,41,40,0.23850736
donut_synthetic_00.png,41,41,0.5405106
hair_drier_indoor_low_light_02.jpg,63,63,0.98831487
hair_drier_indoor_normal_light_00.jpg,63,63,0.6166026
hair_dryer_synthetic_02.png,63,63,0.99866474
handbag_indoor_lowlight_02.jpg,23,21,0.1982925
handbag_outdoor_normal_light_00.jpg,23,42,0.17816755
handbag_outdoor_normal_light_01.jpg,23,50,0.33566564
handbag_outdoor_normal_light_02.jpg,23,23,0.39447728
handbag_synthetic_02.png,23,23,0.87768394
keyboard_indoor_low_light_00.jpg,52,52,0.6197713
keyboard_indoor_low_light_01.jpg,52,52,0.7410826
keyboard_synthetic_00.png,52,52,0.7854635
knife_outdoor_normal_light_00.png,32,32,0.31906387
knife_synthetic_02.png,32,33,0.13023826
laptop_indoor_normal_light_01.jpg,49,50,0.36661047
laptop_outdoor_normal_light_01.jpg,49,49,0.5174955
laptop_synthetic_02.png,49,52,0.2870405
motorcycle_indoor_low_light_02.png,2,2,0.47125217
orange_indoor_low_light_02.png,37,37,0.93677014
orange_indoor_normal_light_00.png,37,37,0.8952881
orange_outdoor_normal_light_02.png,37,37,0.8618208
orange_synthetic_00.png,37,37,0.69116634
racket_indoor_low_light_00.jpg,28,28,0.9130747
racket_indoor_low_light_01.jpg,28,28,0.8884504
remote_indoor_normal_light_00.jpg,51,51,0.8320379
remote_indoor_normal_light_01.jpg,51,51,0.9316066
sheep_outdoor_back_light_02.jpg,16,16,0.26080573
sheep_synthetic_02.png,16,41,0.20245907
spoon_outdoor_normal_light_01.png,33,33,0.18346229
spoon_synthetic_02.png,33,50,0.30366433
sports_ball_synthetic_00.png,26,26,0.32676375
sports_ball_synthetic_01.png,26,26,0.9767686
vase_indoor_low_light_00.jpg,61,29,0.21638313
vase_indoor_low_light_01.jpg,61,61,0.84124744
vase_synthetic_02.png,61,61,0.9461476
wine_glass_outdoor_backlit_00.png,30,30,0.5771526
wine_glass_outdoor_normal_light_00.png,30,30,0.5614209
wine_glass_synthetic_02.png,30,30,0.80906487
zebra_outdoor_low_light_02.jpg,20,20,0.9226088
zebra_outdoor_normal_light_00.jpg,20,20,0.92697906
zebra_synthetic_02.png,20,20,0.8537648
