train_loss,val_loss,val_acc
4.203847408294678,3.742982864379883,0.15151515151515152
3.3632895946502686,3.5134048461914062,0.15151515151515152
3.1503549416859946,3.6365994215011597,0.09090909090909091
2.948474327723185,3.4261014461517334,0.24242424242424243
2.7099661827087402,3.1243475675582886,0.30303030303030304
2.7417190869649253,2.764480233192444,0.2727272727272727
2.027468760808309,2.43147349357605,0.3939393939393939
2.146703322728475,2.1281885504722595,0.45454545454545453
1.9997410774230957,1.8552560806274414,0.5151515151515151
1.6017528374989827,1.6819000244140625,0.45454545454545453
